arbres,tr,nb,outg,outs,outc
1,tree1,100,0,0,0
2,tree1,100,0,0,0
3,tree1,100,0,0,0
4,tree1,100,0,0,0
5,tree1,100,0,0,0
6,tree1,100,0,0,0
7,tree1,100,0,0,0
8,tree1,100,0,0,0
9,tree1,100,0,0,0
10,tree1,100,0,0,0
11,tree1,100,0,0,0
12,tree1,100,0,0,0
13,tree1,100,0,0,0
14,tree1,100,0,0,0
15,tree1,100,0,0,0
16,tree1,100,0,0,0
17,tree1,100,0,0,0
18,tree1,100,0,0,0
19,tree1,100,0,0,0
20,tree1,100,0,0,0
21,tree1,100,0,0,0
22,tree1,100,0,0,0
23,tree1,100,0,0,0
24,tree1,100,0,0,0
25,tree1,100,0,0,0
26,tree1,100,0,0,0
27,tree1,100,0,0,0
28,tree1,100,0,0,0
29,tree1,100,0,0,0
30,tree1,100,0,0,0
31,tree1,100,0,0,0
32,tree1,100,0,0,0
33,tree1,100,0,0,0
34,tree1,100,0,0,0
35,tree1,100,0,0,0
36,tree1,100,0,0,0
37,tree1,100,0,0,0
38,tree1,100,0,0,0
39,tree1,100,0,0,0
40,tree1,100,0,0,0
41,tree1,100,0,0,0
42,tree1,100,0,0,0
43,tree1,100,0,0,0
44,tree1,100,0,0,0
45,tree1,100,0,0,0
46,tree1,100,0,0,0
47,tree1,100,0,0,0
48,tree1,100,0,0,0
49,tree1,100,0,0,0
50,tree1,100,0,0,0
51,tree2,100,0,0,0
52,tree2,100,0,0,0
53,tree2,100,0,0,0
54,tree2,100,0,0,0
55,tree2,100,0,0,0
56,tree2,100,0,0,0
57,tree2,100,0,0,0
58,tree2,100,0,0,0
59,tree2,100,0,0,0
60,tree2,100,0,0,0
61,tree2,100,0,0,0
62,tree2,100,0,0,0
63,tree2,100,0,0,0
64,tree2,100,0,0,0
65,tree2,100,0,0,0
66,tree2,100,0,0,0
67,tree2,100,0,0,0
68,tree2,100,0,0,0
69,tree2,100,0,0,0
70,tree2,100,0,0,0
71,tree2,100,0,0,0
72,tree2,100,0,0,0
73,tree2,100,0,0,0
74,tree2,100,0,0,0
75,tree2,100,0,0,0
76,tree2,100,0,0,0
77,tree2,100,0,0,0
78,tree2,100,0,0,0
79,tree2,100,0,0,0
80,tree2,100,0,0,0
81,tree2,100,0,0,0
82,tree2,100,0,0,0
83,tree2,100,0,0,0
84,tree2,100,0,0,0
85,tree2,100,0,0,0
86,tree2,100,0,0,0
87,tree2,100,0,0,0
88,tree2,100,0,0,0
89,tree2,100,0,0,0
90,tree2,100,0,0,0
91,tree2,100,0,0,0
92,tree2,100,0,0,0
93,tree2,100,0,0,0
94,tree2,100,0,0,0
95,tree2,100,0,0,0
96,tree2,100,0,0,0
97,tree2,100,0,0,0
98,tree2,100,0,0,0
99,tree2,100,0,0,0
100,tree2,100,0,0,0
101,tree3,100,0,0,0
102,tree3,100,0,0,0
103,tree3,100,0,0,0
104,tree3,100,0,0,0
105,tree3,100,0,0,0
106,tree3,100,0,0,0
107,tree3,100,0,0,0
108,tree3,100,0,0,0
109,tree3,100,0,0,0
110,tree3,100,0,0,0
111,tree3,100,0,0,0
112,tree3,100,0,0,0
113,tree3,100,0,0,0
114,tree3,100,0,0,0
115,tree3,100,0,0,0
116,tree3,100,0,0,0
117,tree3,100,0,0,0
118,tree3,100,0,0,0
119,tree3,100,0,0,0
120,tree3,100,0,0,0
121,tree3,100,0,0,0
122,tree3,100,0,0,0
123,tree3,100,0,0,0
124,tree3,100,0,0,0
125,tree3,100,0,0,0
126,tree3,100,0,0,0
127,tree3,100,0,0,0
128,tree3,100,0,0,0
129,tree3,100,0,0,0
130,tree3,100,0,0,0
131,tree3,100,0,0,0
132,tree3,100,0,0,0
133,tree3,100,0,0,0
134,tree3,100,0,0,0
135,tree3,100,0,0,0
136,tree3,100,0,0,0
137,tree3,100,0,0,0
138,tree3,100,0,0,0
139,tree3,100,0,0,0
140,tree3,100,0,0,0
141,tree3,100,0,0,0
142,tree3,100,0,0,0
143,tree3,100,0,0,0
144,tree3,100,0,0,0
145,tree3,100,0,0,0
146,tree3,100,0,0,0
147,tree3,100,0,0,0
148,tree3,100,0,0,0
149,tree3,100,0,0,0
150,tree3,100,0,0,0
151,tree1,100,1,0,0
152,tree1,100,1,0,0
153,tree1,100,1,0,0
154,tree1,100,1,0,0
155,tree1,100,1,0,0
156,tree1,100,1,0,0
157,tree1,100,1,0,0
158,tree1,100,1,0,0
159,tree1,100,1,0,0
160,tree1,100,1,0,0
161,tree1,100,1,0,0
162,tree1,100,1,0,0
163,tree1,100,1,0,0
164,tree1,100,1,0,0
165,tree1,100,1,0,0
166,tree1,100,1,0,0
167,tree1,100,1,0,0
168,tree1,100,1,0,0
169,tree1,100,1,0,0
170,tree1,100,1,0,0
171,tree1,100,1,0,0
172,tree1,100,1,0,0
173,tree1,100,1,0,0
174,tree1,100,1,0,0
175,tree1,100,1,0,0
176,tree1,100,1,0,0
177,tree1,100,1,0,0
178,tree1,100,1,0,0
179,tree1,100,1,0,0
180,tree1,100,1,0,0
181,tree1,100,1,0,0
182,tree1,100,1,0,0
183,tree1,100,1,0,0
184,tree1,100,1,0,0
185,tree1,100,1,0,0
186,tree1,100,1,0,0
187,tree1,100,1,0,0
188,tree1,100,1,0,0
189,tree1,100,1,0,0
190,tree1,100,1,0,0
191,tree1,100,1,0,0
192,tree1,100,1,0,0
193,tree1,100,1,0,0
194,tree1,100,1,0,0
195,tree1,100,1,0,0
196,tree1,100,1,0,0
197,tree1,100,1,0,0
198,tree1,100,1,0,0
199,tree1,100,1,0,0
200,tree1,100,1,0,0
201,tree2,100,1,0,0
202,tree2,100,1,0,0
203,tree2,100,1,0,0
204,tree2,100,1,0,0
205,tree2,100,1,0,0
206,tree2,100,1,0,0
207,tree2,100,1,0,0
208,tree2,100,1,0,0
209,tree2,100,1,0,0
210,tree2,100,1,0,0
211,tree2,100,1,0,0
212,tree2,100,1,0,0
213,tree2,100,1,0,0
214,tree2,100,1,0,0
215,tree2,100,1,0,0
216,tree2,100,1,0,0
217,tree2,100,1,0,0
218,tree2,100,1,0,0
219,tree2,100,1,0,0
220,tree2,100,1,0,0
221,tree2,100,1,0,0
222,tree2,100,1,0,0
223,tree2,100,1,0,0
224,tree2,100,1,0,0
225,tree2,100,1,0,0
226,tree2,100,1,0,0
227,tree2,100,1,0,0
228,tree2,100,1,0,0
229,tree2,100,1,0,0
230,tree2,100,1,0,0
231,tree2,100,1,0,0
232,tree2,100,1,0,0
233,tree2,100,1,0,0
234,tree2,100,1,0,0
235,tree2,100,1,0,0
236,tree2,100,1,0,0
237,tree2,100,1,0,0
238,tree2,100,1,0,0
239,tree2,100,1,0,0
240,tree2,100,1,0,0
241,tree2,100,1,0,0
242,tree2,100,1,0,0
243,tree2,100,1,0,0
244,tree2,100,1,0,0
245,tree2,100,1,0,0
246,tree2,100,1,0,0
247,tree2,100,1,0,0
248,tree2,100,1,0,0
249,tree2,100,1,0,0
250,tree2,100,1,0,0
251,tree3,100,1,0,0
252,tree3,100,1,0,0
253,tree3,100,1,0,0
254,tree3,100,1,0,0
255,tree3,100,1,0,0
256,tree3,100,1,0,0
257,tree3,100,1,0,0
258,tree3,100,1,0,0
259,tree3,100,1,0,0
260,tree3,100,1,0,0
261,tree3,100,1,0,0
262,tree3,100,1,0,0
263,tree3,100,1,0,0
264,tree3,100,1,0,0
265,tree3,100,1,0,0
266,tree3,100,1,0,0
267,tree3,100,1,0,0
268,tree3,100,1,0,0
269,tree3,100,1,0,0
270,tree3,100,1,0,0
271,tree3,100,1,0,0
272,tree3,100,1,0,0
273,tree3,100,1,0,0
274,tree3,100,1,0,0
275,tree3,100,1,0,0
276,tree3,100,1,0,0
277,tree3,100,1,0,0
278,tree3,100,1,0,0
279,tree3,100,1,0,0
280,tree3,100,1,0,0
281,tree3,100,1,0,0
282,tree3,100,1,0,0
283,tree3,100,1,0,0
284,tree3,100,1,0,0
285,tree3,100,1,0,0
286,tree3,100,1,0,0
287,tree3,100,1,0,0
