$outgn
character(0)

$outsp
character(0)

$outcell
 Species                            Genes    
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN1"   
 "Dickeya_zeae..NCPPB3531Dz"        "GEN1"   
 "Dickeya_solani..RNS070773BDs"     "GEN2"   
 "Dickeya_solani..RNS050512ADs"     "GEN2"   
 "Dickeya_zeae..EC1Dz"              "GEN7"   
 "Dickeya_zeae..CSLRW192Dz"         "GEN7"   
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN8"   
 "Dickeya_solani..MK16Ds"           "GEN11"  
 "Dickeya_sp..2B12Ds"               "GEN11"  
 "Dickeya_dianthicola..IPO980Dd"    "GEN14"  
 "Dickeya_solani..RNS070773BDs"     "GEN15"  
 "Dickeya_solani..GBBC2040Ds"       "GEN16"  
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN17"  
 "Dickeya_zeae..MS1Dz"              "GEN19"  
 "Dickeya_zeae..DZ2QDz"             "GEN20"  
 "Dickeya_zeae..NCPPB2538Dz"        "GEN23"  
 "Dickeya_zeae..DZ2QDz"             "GEN24"  
 "Dickeya_paradisiaca..NCPPB2511Dp" "GEN25"  
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN25"  
 "Dickeya_solani..PPO9134Ds"        "GEN26"  
 "Dickeya_solani..PPO9019Ds"        "GEN26"  
 "Dickeya_solani..M005Ds"           "GEN27"  
 "Dickeya_zeae..NCPPB3531Dz"        "GEN27"  
 "Dickeya_aquatica..localstrainDa"  "GEN28"  
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN29"  
 "Dickeya_sp..NCPPB569Ds"           "GEN29"  
 "Dickeya_solani..M005Ds"           "GEN29"  
 "Dickeya_zeae..NCPPB3532Dz"        "GEN32"  
 "Dickeya_solani..IFB0099Ds"        "GEN33"  
 "Dickeya_solani..GBBC2040Ds"       "GEN33"  
 "Dickeya_zeae..MS1Dz"              "GEN34"  
 "Dickeya_sp..NCPPB3274Ds"          "GEN35"  
 "Dickeya_sp..2B12Ds"               "GEN36"  
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN37"  
 "Dickeya_zeae..CSLRW192Dz"         "GEN37"  
 "Dickeya_dianthicola..IPO980Dd"    "GEN38"  
 "Dickeya_zeae..CSLRW192Dz"         "GEN38"  
 "Dickeya_zeae..NCPPB3531Dz"        "GEN38"  
 "Dickeya_sp..2B12Ds"               "GEN39"  
 "Dickeya_zeae..MK19Dz"             "GEN40"  
 "Dickeya_sp..S1Ds"                 "GEN42"  
 "Dickeya_zeae..DZ2QDz"             "GEN44"  
 "Dickeya_zeae..MS1Dz"              "GEN44"  
 "Dickeya_zeae..Ech586Dz"           "GEN44"  
 "Cedecea_neteri..ND14bCn"          "GEN45"  
 "Dickeya_zeae..NCPPB2538Dz"        "GEN45"  
 "Dickeya_solani..M005Ds"           "GEN45"  
 "Dickeya_solani..M005Ds"           "GEN46"  
 "Dickeya_solani..Ds0432-1Ds"       "GEN49"  
 "Dickeya_dianthicola..RNS049Dd"    "GEN49"  
