$outgn
 [1] "GEN9"    "GEN116"  "GEN189"  "GEN238"  "GEN294"  "GEN327"  "GEN328" 
 [8] "GEN372"  "GEN385"  "GEN389"  "GEN461"  "GEN632"  "GEN645"  "GEN697" 
[15] "GEN732"  "GEN751"  "GEN767"  "GEN804"  "GEN893"  "GEN915"  "GEN929" 
[22] "GEN995"  "GEN1067" "GEN1078" "GEN1207" "GEN1237" "GEN1242"

$outsp
character(0)

$outcell
 Species                            Genes    
 "Dickeya_dianthicola..GBBC2039Dd"  "GEN1"   
 "Dickeya_zeae..NCPPB3531Dz"        "GEN1"   
 "Dickeya_solani..RNS070773BDs"     "GEN2"   
 "Dickeya_solani..M005Ds"           "GEN5"   
 "Dickeya_zeae..EC1Dz"              "GEN7"   
 "Dickeya_chrysanthem..M074Dc"      "GEN8"   
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN8"   
 "Dickeya_solani..M005Ds"           "GEN8"   
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN10"  
 "Dickeya_solani..MK16Ds"           "GEN11"  
 "Dickeya_dadantii_su..NCPPB2976Dd" "GEN12"  
 "Dickeya_solani..RNS050512ADs"     "GEN12"  
 "Dickeya_zeae..MS1Dz"              "GEN12"  
 "Dickeya_sp..NCPPB3274Ds"          "GEN12"  
 "Dickeya_chrysanthem..NCPPB402Dc"  "GEN13"  
 "Dickeya_solani..M005Ds"           "GEN13"  
 "Dickeya_dianthicola..IPO980Dd"    "GEN14"  
 "Dickeya_dianthicola..NCPPB453Dd"  "GEN14"  
 "Dickeya_solani..RNS070773BDs"     "GEN15"  
 "Dickeya_sp..B16Ds"                "GEN16"  
 "Dickeya_solani..GBBC2040Ds"       "GEN16"  
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN17"  
 "Dickeya_zeae..Ech586Dz"           "GEN17"  
 "Dickeya_dadantii..NCPPB898Dd"     "GEN19"  
 "Dickeya_solani..RNS050512ADs"     "GEN19"  
 "Dickeya_zeae..MS1Dz"              "GEN19"  
 "Dickeya_zeae..DZ2QDz"             "GEN20"  
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN22"  
 "Dickeya_zeae..DZ2QDz"             "GEN22"  
 "Dickeya_dadantii..NCPPB3537Dd"    "GEN23"  
 "Dickeya_zeae..NCPPB2538Dz"        "GEN23"  
 "Dickeya_dadantii..NCPPB898Dd"     "GEN24"  
 "Dickeya_chrysanthem..NCPPB516Dc"  "GEN24"  
 "Dickeya_chrysanthem..L11Dc"       "GEN24"  
 "Dickeya_sp..2B12Ds"               "GEN25"  
 "Serratia_sp..ATCC39006Ss"         "GEN25"  
 "Dickeya_solani..PPO9134Ds"        "GEN26"  
 "Dickeya_solani..PPO9019Ds"        "GEN26"  
 "Dickeya_aquatica..localstrainDa"  "GEN28"  
 "Dickeya_dadantii..3937Dd"         "GEN29"  
 "Dickeya_chrysanthem..Ech1591Dc"   "GEN29"  
 "Dickeya_solani..RNS070773BDs"     "GEN33"  
 "Dickeya_solani..GBBC2040Ds"       "GEN33"  
