$outgn
character(0)

$outsp
character(0)

$outcell
 Species                                Genes  
 "Deinococcus_radiodu..GCA_000008565.1" "GEN1" 
 "Chloroflexus_sp...GCA_000022185.1"    "GEN1" 
 "Thermomicrobium_ros..GCA_000021685.1" "GEN1" 
 "Jeotgalicoccus_sp...GCA_000756715.2"  "GEN1" 
 "candidatus_arthromi..GCA_000270205.1" "GEN1" 
 "Kurthia_sp...GCA_001534765.1"         "GEN2" 
 "Chloroflexus_sp...GCA_000022185.1"    "GEN2" 
 "Herpetosiphon_auran..GCA_000018565.1" "GEN2" 
 "Acidaminococcus_int..GCA_000230275.1" "GEN2" 
 "Bacillus_gobiensis..GCA_001278705.1"  "GEN2" 
 "Bacillus_sp...GCA_001278755.1"        "GEN2" 
 "Thermomicrobium_ros..GCA_000021685.1" "GEN3" 
 "Chloroflexus_sp...GCA_000022185.1"    "GEN3" 
 "Rubrobacter_xylanop..GCA_000014185.1" "GEN3" 
 "Conexibacter_woesei..GCA_000025265.1" "GEN3" 
 "Clostridium_bornime..GCA_000577895.1" "GEN3" 
 "Lactobacillus_casei..GCA_000829055.1" "GEN3" 
 "Anaerolinea_thermop..GCA_000199675.1" "GEN5" 
 "candidatus_arthromi..GCA_000283555.1" "GEN5" 
 "candidatus_arthromi..GCA_000270205.1" "GEN5" 
 "Dehalogenimonas_lyk..GCA_000143165.1" "GEN6" 
 "Alicyclobacillus_ac..GCA_000024285.1" "GEN6" 
 "Petrotoga_mobilis..GCA_000018605.1"   "GEN6" 
 "Jeotgalicoccus_sp...GCA_000756715.2"  "GEN6" 
 "Sulfobacillus_acido..GCA_000237975.1" "GEN6" 
 "candidatus_desulfor..GCA_000018425.1" "GEN6" 
 "Clostridium_cellulo..GCA_000145275.1" "GEN7" 
 "Prochlorococcus_mar..GCA_000015665.1" "GEN7" 
 "Lactobacillus_sanfr..GCA_000225325.1" "GEN7" 
 "Pediococcus_damnosu..GCA_001611155.1" "GEN7" 
 "Caldilinea_aerophil..GCA_000281175.1" "GEN7" 
 "Halobacillus_haloph..GCA_000284515.1" "GEN7" 
 "Macrococcus_caseoly..GCA_000010585.1" "GEN7" 
 "Thermoanaerobacteri..GCA_000189775.3" "GEN8" 
 "Thermobacillus_comp..GCA_000227705.3" "GEN8" 
 "Jeotgalibacillus_ma..GCA_000818095.1" "GEN8" 
 "Gemella_sp...GCA_001553915.1"         "GEN8" 
 "Butyrivibrio_fibris..GCA_000209815.1" "GEN9" 
 "_stick..GCA_000196455.1"              "GEN9" 
 "Caldanaerobacter_su..GCA_000007085.1" "GEN9" 
 "Clostridium_tetani..GCA_000007625.1"  "GEN9" 
 "Megamonas_hypermega..GCA_000209975.1" "GEN9" 
 "Lactobacillus_hokka..GCA_000829395.1" "GEN9" 
 "Acetobacterium_wood..GCA_000247605.1" "GEN10"
 "Paenibacillus_sabin..GCA_000612505.1" "GEN10"
 "Sphaerobacter_therm..GCA_000024985.1" "GEN11"
 "Conexibacter_woesei..GCA_000025265.1" "GEN11"
 "Alicyclobacillus_ac..GCA_000219875.1" "GEN11"
 "Thermus_aquaticus..GCA_001399775.1"   "GEN11"
 "Chloroflexus_sp...GCA_000022185.1"    "GEN11"
 "Dehalococcoides_mcc..GCA_000830905.1" "GEN11"
 "Thermaerobacter_mar..GCA_000184705.1" "GEN11"
 "Symbiobacterium_the..GCA_000009905.1" "GEN11"
 "Dehalobacter_sp...GCA_000305815.1"    "GEN12"
 "Bacillus_cytotoxicu..GCA_000017425.1" "GEN12"
 "Caldicellulosirupto..GCA_000016545.1" "GEN12"
 "Mahella_australiens..GCA_000213255.1" "GEN12"
 "Terribacillus_aidin..GCA_000725365.1" "GEN12"
 "Listeria_cornellens..GCF_000525855.1" "GEN12"
 "Desulfotomaculum_ac..GCA_000024205.1" "GEN13"
 "Heliobacterium_mode..GCA_000019165.1" "GEN13"
 "Acetobacterium_wood..GCA_000247605.1" "GEN14"
 "Paenibacillus_sp...GCA_000024685.1"   "GEN14"
 "Ilyobacter_polytrop..GCA_000165505.1" "GEN15"
 "Heliobacterium_mode..GCA_000019165.1" "GEN15"
 "Syntrophobotulus_gl..GCA_000190635.1" "GEN16"
 "Paenibacillus_yongi..GCA_001685395.1" "GEN16"
 "Paenibacillus_beiji..GCA_000961095.1" "GEN16"
 "Jeotgalicoccus_sp...GCA_000756715.2"  "GEN16"
 "Thermaerobacter_mar..GCA_000184705.1" "GEN16"
 "Synechococcus_elong..GCA_000010065.1" "GEN17"
 "Brevibacillus_brevi..GCA_000010165.1" "GEN17"
 "Ruminococcus_sp...GCA_000209835.1"    "GEN17"
 "Butyrivibrio_proteo..GCA_000145035.1" "GEN17"
 "Carboxydothermus_hy..GCA_000012865.1" "GEN17"
 "Aneurinibacillus_sp..GCA_001439585.2" "GEN17"
 "Listeria_cornellens..GCF_000525855.1" "GEN17"
 "Carnobacterium_sp...GCA_001483965.1"  "GEN17"
 "Clostridium_sp...GCA_000270305.1"     "GEN18"
 "Thermobacillus_comp..GCA_000227705.3" "GEN18"
 "Macrococcus_caseoly..GCA_000010585.1" "GEN18"
 "Sphaerobacter_therm..GCA_000024985.1" "GEN19"
 "Symbiobacterium_the..GCA_000009905.1" "GEN19"
 "Caldilinea_aerophil..GCA_000281175.1" "GEN19"
 "_cellu..GCA_000953215.1"              "GEN19"
 "Selenomonas_sp...GCA_001554015.1"     "GEN19"
 "Lactobacillus_reute..GCA_000439275.1" "GEN19"
 "Thermotoga_sp...GCA_000789375.1"      "GEN20"
 "Gottschalkia_acidur..GCA_000299355.1" "GEN20"
 "_stick..GCA_000196455.1"              "GEN21"
 "Clostridioides_diff..GCA_000932055.1" "GEN21"
 "Butyrivibrio_proteo..GCA_000145035.1" "GEN21"
 "Gottschalkia_acidur..GCA_000299355.1" "GEN21"
 "Megamonas_hypermega..GCA_000209975.1" "GEN21"
 "Carboxydothermus_hy..GCA_000012865.1" "GEN21"
 "Thermosipho_african..GCA_000021285.1" "GEN22"
