$outgn
character(0)

$outsp
character(0)

$outcell
 Species                                Genes  
 "Rubinisphaera_brasi..GCA_000165715.3" "GEN1" 
 "Nautilia_profundico..GCA_000021725.1" "GEN1" 
 "Magnetospirillum_ma..GCA_000009985.1" "GEN1" 
 "Brevundimonas_subvi..GCA_000144605.1" "GEN2" 
 "candidatus_tachikaw..GCA_000828815.1" "GEN2" 
 "Mitsuaria_sp...GCA_001653795.1"       "GEN2" 
 "Burkholderiales_bac..GCA_000828975.1" "GEN2" 
 "Alpha_proteobacteri..GCA_000299095.1" "GEN3" 
 "Thiomonas_arsenitox..GCA_000253115.1" "GEN3" 
 "Bacterium_2013arg42..GCA_001460935.1" "GEN3" 
 "candidatus_sulcia_m..GCA_001677255.1" "GEN3" 
 "Frischella_perrara..GCA_000807275.1"  "GEN4" 
 "Enterobacteriaceae_..GCA_900048045.1" "GEN4" 
 "candidatus_westeber..GCA_001242845.1" "GEN4" 
 "Chlorobaculum_parvu..GCA_000020505.1" "GEN4" 
 "candidatus_phaeomar..GCA_000689395.1" "GEN4" 
 "candidatus_midichlo..GCA_000219355.1" "GEN5" 
 "Leptospira_interrog..GCA_000941035.1" "GEN5" 
 "Mycoplasma_hominis..GCA_000085865.1"  "GEN5" 
 "Alcanivorax_sp...GCA_001010505.1"     "GEN5" 
 "Methylococcus_capsu..GCA_000008325.1" "GEN5" 
 "Desulfurispirillum_..GCA_000177635.2" "GEN5" 
 "Verrucomicrobium_sp..GCA_000172155.1" "GEN6" 
 "Acidobacteria_bacte..GCA_001618865.1" "GEN6" 
 "Kosmotoga_olearia..GCA_000023325.1"   "GEN6" 
 "Thiolapillus_brande..GCA_000828615.1" "GEN6" 
 "Betaproteobacteria_..GCA_001602455.1" "GEN6" 
 "Runella_slithyformi..GCA_000218895.1" "GEN6" 
 "Segniliparus_rotund..GCA_000092825.1" "GEN6" 
 "Actinobacteria_bact..GCA_001023575.1" "GEN6" 
 "Anaeromyxobacter_de..GCA_000022145.1" "GEN6" 
 "Desulfurivibrio_alk..GCA_000092205.1" "GEN6" 
 "Desulfobacca_acetox..GCA_000195295.1" "GEN6" 
 "candidatus_solibact..GCA_000014905.1" "GEN6" 
 "Terriglobus_roseus..GCA_000265425.1"  "GEN6" 
 "Bordetella_flabilis..GCA_001676725.1" "GEN7" 
 "Selenomonas_sp...GCA_001189555.1"     "GEN7" 
 "Endosymbiont_of_aca..GCA_000730245.1" "GEN7" 
 "Thioalkalivibrio_pa..GCA_000227685.3" "GEN7" 
 "Steroidobacter_deni..GCA_001579945.1" "GEN7" 
 "Bacteroides_thetaio..GCA_000011065.1" "GEN7" 
 "Segniliparus_rotund..GCA_000092825.1" "GEN7" 
 "Selenomonas_ruminan..GCA_000284095.1" "GEN7" 
 "Anaerolinea_thermop..GCA_000199675.1" "GEN7" 
 "Chlamydia_trachomat..GCA_000210495.1" "GEN8" 
 "Glutamicibacter_ari..GCA_000197735.1" "GEN8" 
 "Lawsonella_clevelan..GCA_001281505.1" "GEN8" 
 "Micromonospora_sp...GCA_000177655.2"  "GEN8" 
 "Thioalkalivibrio_pa..GCA_000227685.3" "GEN8" 
 "Sedimenticola_thiot..GCA_001007875.1" "GEN8" 
 "Halothiobacillus_ne..GCA_000024765.1" "GEN8" 
 "candidatus_sulcia_m..GCA_001447915.1" "GEN8" 
 "Rhodothermus_marinu..GCA_000224745.1" "GEN8" 
 "Opitutaceae_bacteri..GCA_000242935.3" "GEN8" 
 "Deinococcus_perarid..GCA_000317835.1" "GEN8" 
 "Jonesia_denitrifica..GCA_000024065.1" "GEN8" 
 "Actinomyces_oris..GCA_001553935.1"    "GEN8" 
 "Streptomyces_hygros..GCA_000340845.1" "GEN8" 
 "Actinoplanes_missou..GCA_000284295.1" "GEN8" 
 "Halobacteriovorax_m..GCA_000210915.2" "GEN9" 
 "candidatus_azobacte..GCA_000010645.1" "GEN9" 
 "Acidobacteria_bacte..GCA_001618865.1" "GEN9" 
 "Nautilia_profundico..GCA_000021725.1" "GEN9" 
 "Bdellovibrio_exovor..GCA_000348725.1" "GEN10"
 "Yersinia_enterocoli..GCA_000253175.1" "GEN10"
 "Flammeovirgaceae_ba..GCA_000597885.1" "GEN10"
 "Mobiluncus_curtisii..GCA_000196535.1" "GEN10"
 "Gordonibacter_pamel..GCA_000210055.1" "GEN11"
 "Hippea_maritima..GCA_000194135.1"     "GEN11"
 "Bacterium_l21_spi_d..GCA_001443605.1" "GEN11"
 "Rhodothermus_marinu..GCA_000224745.1" "GEN11"
 "Parvularcula_bermud..GCA_000152825.2" "GEN12"
 "candidatus_campbell..GCA_001029775.1" "GEN12"
 "Blochmannia_endosym..GCA_000973505.1" "GEN12"
 "Conexibacter_woesei..GCA_000025265.1" "GEN12"
 "Coprothermobacter_p..GCA_000020945.1" "GEN12"
 "Nautilia_profundico..GCA_000021725.1" "GEN12"
 "candidatus_woesebac..GCA_001029755.1" "GEN12"
 "Butyrate_producing_..GCA_000210675.1" "GEN12"
 "Ilumatobacter_cocci..GCA_000348785.1" "GEN13"
 "Petrotoga_mobilis..GCA_000018605.1"   "GEN13"
 "candidatus_campbell..GCA_001029775.1" "GEN13"
 "Mitsuaria_sp...GCA_001653795.1"       "GEN13"
 "Methylotenera_versa..GCA_000093025.1" "GEN13"
 "Actinobacteria_bact..GCA_001023575.1" "GEN13"
 "Gemmata_sp...GCA_001610855.1"         "GEN14"
