$outgn
character(0)

$outsp
character(0)

$outcell
 Species                                Genes  
 "Niabella_soli..GCA_000243115.3"       "GEN1" 
 "Magnetospirillum_ma..GCA_000009985.1" "GEN1" 
 "Rathayibacter_triti..GCA_001641005.1" "GEN1" 
 "Catenulispora_acidi..GCA_000024025.1" "GEN1" 
 "Nakamurella_multipa..GCA_000024365.1" "GEN1" 
 "Geitlerinema_sp...GCA_000317045.1"    "GEN2" 
 "Geobacter_daltonii..GCA_000022265.1"  "GEN2" 
 "Alpha_proteobacteri..GCA_000299115.1" "GEN3" 
 "Alpha_proteobacteri..GCA_000299095.1" "GEN3" 
 "Thermodesulfobacter..GCA_000734015.1" "GEN3" 
 "candidatus_pelagiba..GCA_000195085.1" "GEN3" 
 "candidatus_midichlo..GCA_000219355.1" "GEN3" 
 "Endosymbiont_of_aca..GCA_000730245.1" "GEN3" 
 "Phycisphaera_mikure..GCA_000284115.1" "GEN3" 
 "Photobacterium_prof..GCA_000196255.1" "GEN4" 
 "Glutamicibacter_ari..GCA_000197735.1" "GEN4" 
 "candidatus_atelocya..GCA_000025125.1" "GEN4" 
 "Prevotella_scopos..GCA_001683355.1"   "GEN4" 
 "Sideroxydans_lithot..GCA_000025705.1" "GEN5" 
 "Chromobacterium_vio..GCA_000007705.1" "GEN5" 
 "Azotobacter_vinelan..GCA_000380335.1" "GEN5" 
 "Gallionella_capsife..GCA_000145255.1" "GEN5" 
 "candidatus_midichlo..GCA_000219355.1" "GEN5" 
 "Acidaminococcus_fer..GCA_000025305.1" "GEN6" 
 "Burkholderiales_bac..GCA_001688905.1" "GEN6" 
 "Thioalkalivibrio_pa..GCA_000227685.3" "GEN6" 
 "Methylococcus_capsu..GCA_000008325.1" "GEN6" 
 "Herpetosiphon_auran..GCA_000018565.1" "GEN6" 
 "Selenomonas_sp...GCA_001189555.1"     "GEN6" 
 "Runella_slithyformi..GCA_000218895.1" "GEN6" 
 "candidatus_azobacte..GCA_000010645.1" "GEN6" 
 "Thermotoga_profunda..GCA_000828675.1" "GEN6" 
 "Thauera_humireducen..GCA_001051995.2" "GEN7" 
 "Sideroxydans_lithot..GCA_000025705.1" "GEN7" 
 "Dechloromonas_aroma..GCA_000012425.1" "GEN7" 
 "Chromobacterium_vio..GCA_000007705.1" "GEN7" 
 "Acidaminococcus_int..GCA_000230275.1" "GEN7" 
 "Thermus_scotoductus..GCA_000187005.1" "GEN7" 
 "Marinithermus_hydro..GCA_000195335.1" "GEN7" 
 "Alteromonas_mediter..GCA_000310085.1" "GEN7" 
 "Bacteroides_thetaio..GCA_000011065.1" "GEN7" 
