$outgn
character(0)

$outsp
character(0)

$outcell
 Species                                  Genes  
 "Clostridium_cellulo..GCA_000145275.1"   "GEN1" 
 "Clostridium_novyi..GCA_000014125.1"     "GEN1" 
 "Herpetosiphon_auran..GCA_000018565.1"   "GEN1" 
 "Peptoniphilus_sp...GCA_000952975.1"     "GEN1" 
 "Eubacterium_acidami..GCA_000597865.1"   "GEN1" 
 "__clostridium___clari..GCA_000237085.1" "GEN2" 
 "Caldicellulosirupto..GCA_000016545.1"   "GEN2" 
 "Butyrate_producing_..GCA_000209895.1"   "GEN2" 
 "Listeria_fleischman..GCF_000344175.1"   "GEN2" 
 "Cellulosilyticum_le..GCA_000178835.2"   "GEN2" 
 "Mycoplasma_hyopneum..GCA_000183185.1"   "GEN2" 
 "Streptococcus_panth..GCA_001642085.1"   "GEN2" 
 "Streptococcus_const..GCA_000463395.1"   "GEN2" 
 "Lactobacillus_jense..GCA_000159335.1"   "GEN2" 
 "Brevibacillus_brevi..GCA_000010165.1"   "GEN3" 
 "Mycoplasma_conjunct..GCA_000026765.1"   "GEN3" 
 "Lactobacillus_sp...GCA_000761135.1"     "GEN3" 
 "Alicyclobacillus_ac..GCA_000024285.1"   "GEN4" 
 "Geobacillus_sp...GCA_000166075.1"       "GEN4" 
 "Geobacillus_sp...GCA_000336445.1"       "GEN4" 
 "Geobacillus_thermod..GCA_000015745.1"   "GEN4" 
 "Lentibacillus_amylo..GCA_001307805.2"   "GEN4" 
 "Terribacillus_aidin..GCA_000725365.1"   "GEN4" 
 "Mycoplasma_hyopneum..GCA_000183185.1"   "GEN4" 
 "Mycoplasma_ovis..GCA_000508245.1"       "GEN4" 
 "Carnobacterium_sp...GCA_001483965.1"    "GEN4" 
 "Thermotoga_caldifon..GCA_000828655.1"   "GEN5" 
 "candidatus_arthromi..GCA_000283555.1"   "GEN5" 
 "Listeria_cornellens..GCF_000525855.1"   "GEN5" 
 "Streptococcus_dysga..GCA_000493775.1"   "GEN5" 
 "Acidaminococcus_int..GCA_000230275.1"   "GEN6" 
 "Gemella_sp...GCA_001553915.1"           "GEN6" 
 "Streptococcus_dysga..GCA_000493775.1"   "GEN6" 
 "Thermus_aquaticus..GCA_001399775.1"     "GEN7" 
 "Chloroflexus_sp...GCA_000022185.1"      "GEN7" 
 "Ilumatobacter_cocci..GCA_000348785.1"   "GEN7" 
 "Ammonifex_degensii..GCA_000024605.1"    "GEN7" 
 "Herpetosiphon_auran..GCA_000018565.1"   "GEN7" 
 "candidatus_arthromi..GCA_000709435.1"   "GEN7" 
 "Macrococcus_caseoly..GCA_000010585.1"   "GEN7" 
 "Streptococcus_sp...GCA_001683375.1"     "GEN7" 
 "Anoxybacillus_sp...GCA_001634265.1"     "GEN8" 
 "Bacillus_sp...GCA_001648135.1"          "GEN8" 
 "Solibacillus_silves..GCA_001586195.1"   "GEN8" 
 "Thermobacillus_comp..GCA_000227705.3"   "GEN8" 
 "Paenibacillus_sp...GCA_000949425.1"     "GEN8" 
 "Paenibacillus_sp...GCA_000758645.1"     "GEN8" 
 "Bacillus_sp...GCA_000747345.1"          "GEN8" 
 "Jeotgalibacillus_ma..GCA_000818095.1"   "GEN8" 
 "Parvimonas_micra..GCA_000800295.1"      "GEN8" 
 "Salinicoccus_halodu..GCA_001005905.1"   "GEN8" 
 "Listeria_fleischman..GCF_000252625.1"   "GEN9" 
 "Halobacillus_haloph..GCA_000284515.1"   "GEN9" 
 "Brochothrix_thermos..GCA_000525915.1"   "GEN9" 
 "Enterococcus_cassel..GCA_000157355.2"   "GEN9" 
 "Enterococcus_rotai..GCA_001465345.1"    "GEN9" 
 "Pediococcus_pentosa..GCA_000014505.1"   "GEN9" 
 "Lactobacillus_parac..GCA_001702155.1"   "GEN9" 
 "Selenomonas_ruminan..GCA_000284095.1"   "GEN9" 
 "Filifactor_alocis..GCA_000163895.2"     "GEN9" 
 "Aerococcus_christen..GCA_001543105.1"   "GEN9" 
 "Tetragenococcus_hal..GCA_000283615.1"   "GEN9" 
 "Weissella_ceti..GCA_000732905.1"        "GEN9" 
 "Lactobacillus_kunke..GCA_001314945.1"   "GEN9" 
 "Thermodesulfobium_n..GCA_000212395.1"   "GEN10"
 "Desulfotomaculum_ni..GCA_000214435.1"   "GEN10"
