$outgn
character(0)

$outsp
character(0)

$outcell
 Species                                Genes  
 "Magnetospirillum_ma..GCA_000009985.1" "GEN1" 
 "Gilliamella_apicola..GCA_001693435.1" "GEN2" 
 "Geobacter_daltonii..GCA_000022265.1"  "GEN2" 
 "Geitlerinema_sp...GCA_000317045.1"    "GEN2" 
 "Peptoniphilus_sp...GCA_000952975.1"   "GEN3" 
 "Acidobacteria_bacte..GCA_001664505.1" "GEN3" 
 "Segniliparus_rotund..GCA_000092825.1" "GEN3" 
 "Nitrosococcus_ocean..GCA_000012805.1" "GEN3" 
 "Halothiobacillus_ne..GCA_000024765.1" "GEN3" 
 "Methanogenic_archae..GCA_001563305.1" "GEN3" 
 "Uncultured_marine_g..GCA_000246735.1" "GEN3" 
 "Acidithiobacillus_f..GCA_000020825.1" "GEN4" 
 "Actinobacteria_bact..GCA_001023575.1" "GEN4" 
 "Stanieria_cyanospha..GCA_000317575.1" "GEN4" 
 "Alistipes_finegoldi..GCA_000265365.1" "GEN4" 
 "Prevotella_scopos..GCA_001683355.1"   "GEN4" 
 "Acidithiobacillus_c..GCA_000175575.2" "GEN4" 
 "candidatus_phaeomar..GCA_000689395.1" "GEN4" 
 "Uncultured_termite_..GCA_000146025.1" "GEN5" 
 "Gordonia_bronchiali..GCA_000024785.1" "GEN5" 
 "Pelosinus_fermentan..GCA_000271665.2" "GEN5" 
 "candidatus_uzinura_..GCA_000331975.1" "GEN5" 
 "Congregibacter_lito..GCA_000153125.2" "GEN5" 
 "Faecalitalea_cylind..GCA_000210615.1" "GEN5" 
 "Mycobacterium_avium..GCA_000014985.1" "GEN5" 
 "Nocardia_farcinica..GCA_000009805.1"  "GEN5" 
 "Fervidobacterium_pe..GCA_000235405.3" "GEN6" 
 "Capnocytophaga_ochr..GCA_000023285.1" "GEN6" 
 "Elizabethkingia_ano..GCA_000495935.2" "GEN6" 
 "Flavobacterium_psyc..GCA_000064305.2" "GEN6" 
 "Aciduliprofundum_sp..GCA_000327505.1" "GEN6" 
 "Ignisphaera_aggrega..GCA_000145985.1" "GEN6" 
 "Sulfolobus_islandic..GCA_000245235.2" "GEN6" 
 "Marinithermus_hydro..GCA_000195335.1" "GEN7" 
 "Francisella_tularen..GCA_000195555.1" "GEN7" 
 "Bordetella_holmesii..GCA_000341485.2" "GEN7" 
 "Burkholderia_planta..GCA_001411805.1" "GEN7" 
 "Methylibium_petrole..GCA_000015725.1" "GEN7" 
 "Bacteroides_thetaio..GCA_000011065.1" "GEN7" 
 "Thioalkalivibrio_pa..GCA_000227685.3" "GEN7" 
 "Sideroxydans_lithot..GCA_000025705.1" "GEN7" 
 "Endosymbiont_of_aca..GCA_000730245.1" "GEN7" 
 "Deinococcus_maricop..GCA_000186385.1" "GEN7" 
 "Truepera_radiovictr..GCA_000092425.1" "GEN7" 
 "Cyanobacterium_stan..GCA_000317655.1" "GEN8" 
 "candidatus_atelocya..GCA_000025125.1" "GEN8" 
 "Dichelobacter_nodos..GCA_000015345.1" "GEN8" 
 "Thioalkalivibrio_pa..GCA_000227685.3" "GEN8" 
 "Halothiobacillus_ne..GCA_000024765.1" "GEN8" 
 "Acidobacteria_bacte..GCA_001618865.1" "GEN9" 
 "Desulfobacca_acetox..GCA_000195295.1" "GEN9" 
 "Alpha_proteobacteri..GCA_000299115.1" "GEN9" 
 "Mobiluncus_curtisii..GCA_000196535.1" "GEN10"
 "candidatus_uzinura_..GCA_000331975.1" "GEN10"
 "Bacterium_2013arg42..GCA_001460935.1" "GEN10"
 "Picrophilus_torridu..GCA_000008265.1" "GEN11"
 "Gordonibacter_pamel..GCA_000210055.1" "GEN11"
 "Rhodothermus_marinu..GCA_000224745.1" "GEN11"
 "Natrialba_magadii..GCA_000025625.1"   "GEN12"
 "Desulfurispirillum_..GCA_000177635.2" "GEN12"
 "Conexibacter_woesei..GCA_000025265.1" "GEN12"
 "candidatus_cloacimo..GCA_000146065.1" "GEN12"
 "Deinococcus_radiodu..GCA_000008565.1" "GEN13"
 "Thermotoga_profunda..GCA_000828675.1" "GEN13"
 "candidatus_phaeomar..GCA_000689395.1" "GEN13"
 "candidatus_puniceis..GCA_000024465.1" "GEN13"
 "Deinococcus_maricop..GCA_000186385.1" "GEN13"
 "Thermovibrio_ammoni..GCA_000185805.1" "GEN14"
 "Erysipelotrichaceae..GCA_001688965.1" "GEN14"
 "Fluviicola_taffensi..GCA_000194605.1" "GEN14"
 "Tolumonas_auensis..GCA_000023065.1"   "GEN14"
 "Thermomicrobium_ros..GCA_000021685.1" "GEN15"
 "Intestinimonas_buty..GCA_001454945.1" "GEN15"
 "Acidaminococcus_int..GCA_000230275.1" "GEN16"
 "Pelosinus_fermentan..GCA_000271665.2" "GEN16"
 "Coraliomargarita_ak..GCA_000025905.1" "GEN16"
 "candidatus_peribact..GCA_001430755.1" "GEN16"
 "Dichelobacter_nodos..GCA_000015345.1" "GEN16"
 "Mycoplasma_hominis..GCA_000085865.1"  "GEN16"
 "Glutamicibacter_ari..GCA_000197735.1" "GEN17"
 "Fluoribacter_dumoff..GCA_000236165.1" "GEN17"
 "Cryptobacterium_cur..GCA_000023845.1" "GEN17"
 "candidatus_azobacte..GCA_000010645.1" "GEN17"
 "Bacterium_l21_spi_d..GCA_001443605.1" "GEN17"
 "Kosmotoga_olearia..GCA_000023325.1"   "GEN18"
 "candidatus_babela_m..GCA_000513475.1" "GEN18"
