$outgn
character(0)

$outsp
character(0)

$outcell
 Species                                 Genes  
 "Escherichia_coli..GCA_000599665.1"     "GEN1" 
 "Buchnera_aphidicola..GCA_000183305.1"  "GEN1" 
 "candidatus_riesia_pe..GCA_000093065.1" "GEN1" 
 "Yersinia_pestis..GCA_000022805.1"      "GEN2" 
 "Buchnera_aphidicola..GCA_000183305.1"  "GEN2" 
 "candidatus_riesia_pe..GCA_000093065.1" "GEN2" 
 "Secondary_endosymbio..GCA_000287335.1" "GEN2" 
 "Pantoea_sp...GCA_000784875.3"          "GEN2" 
 "Klebsiella_pneumonia..GCA_000775955.1" "GEN2" 
 "Yersinia_kristenseni..GCA_000834865.1" "GEN3" 
 "Buchnera_aphidicola..GCA_000217635.1"  "GEN3" 
 "Dickeya_dadantii..GCA_000023545.1"     "GEN3" 
 "Buchnera_aphidicola..GCA_000183225.1"  "GEN4" 
 "Escherichia_coli..GCA_000833145.1"     "GEN4" 
 "Escherichia_coli..GCA_000830035.1"     "GEN4" 
 "Escherichia_coli..GCA_000023665.1"     "GEN4" 
 "Escherichia_coli..GCA_000017985.1"     "GEN4" 
 "Escherichia_coli..GCA_000009565.2"     "GEN4" 
 "Rahnella_sp...GCA_000187705.1"         "GEN5" 
 "Citrobacter_koseri..GCA_000018045.1"   "GEN5" 
 "Salmonella_bongori..GCA_000709535.1"   "GEN5" 
 "Morganella_morganii_..GCA_000286435.2" "GEN5" 
 "Yersinia_aldovae..GCA_000834395.1"     "GEN5" 
 "Edwardsiella_tarda..GCA_001011055.1"   "GEN5" 
 "Wigglesworthia_gloss..GCA_000247565.1" "GEN6" 
 "Buchnera_aphidicola..GCA_000183285.1"  "GEN7" 
 "Serratia_sp...GCA_000747565.1"         "GEN7" 
 "Klebsiella_pneumonia..GCA_000775375.1" "GEN7" 
 "Enterobacter_cloacae..GCA_000512375.1" "GEN9" 
 "Enterobacter_asburia..GCA_000632395.1" "GEN9" 
 "candidatus_pantoea_c..GCA_000478905.1" "GEN10"
 "Pantoea_sp...GCA_000784875.3"          "GEN10"
 "Salmonella_enterica_..GCA_000020925.1" "GEN10"
 "Salmonella_enterica_..GCA_000430125.1" "GEN10"
 "Yersinia_pestis_subs..GCA_000186725.1" "GEN11"
 "Yersinia_enterocolit..GCA_000253175.1" "GEN11"
 "Enterobacter_sp...GCA_000016325.1"     "GEN11"
 "Salmonella_enterica_..GCA_000444445.1" "GEN12"
 "Salmonella_enterica_..GCA_000009525.1" "GEN12"
 "Buchnera_aphidicola..GCA_000174075.1"  "GEN12"
 "Buchnera_aphidicola..GCA_000183285.1"  "GEN12"
 "Escherichia_coli..GCA_000987875.1"     "GEN12"
 "Escherichia_coli..GCA_000814145.2"     "GEN12"
