$outgn
character(0)

$outsp
character(0)

$outcell
 Species                                Genes  
 "Thermus_aquaticus..GCA_001399775.1"   "GEN1" 
 "Chloroflexus_aggreg..GCA_000021945.1" "GEN1" 
 "Caldilinea_aerophil..GCA_000281175.1" "GEN1" 
 "candidatus_arthromi..GCA_000270205.1" "GEN1" 
 "Acidaminococcus_fer..GCA_000025305.1" "GEN2" 
 "Selenomonas_sputige..GCA_000208405.1" "GEN2" 
 "Desulfitobacterium_..GCA_000243155.3" "GEN2" 
 "Bacillus_sp...GCA_000829195.1"        "GEN2" 
 "Bacillus_gobiensis..GCA_001278705.1"  "GEN2" 
 "Bacillus_sp...GCA_001278755.1"        "GEN2" 
 "Streptococcus_agala..GCA_000427055.1" "GEN2" 
 "Sphaerobacter_therm..GCA_000024985.1" "GEN3" 
 "Lachnoclostridium_p..GCA_000018685.1" "GEN3" 
 "Clostridium_bornime..GCA_000577895.1" "GEN3" 
 "Megamonas_hypermega..GCA_000209975.1" "GEN3" 
 "Streptococcus_saliv..GCA_000253315.1" "GEN4" 
 "Leuconostoc_kimchii..GCA_000092505.1" "GEN4" 
 "Lactobacillus_reute..GCA_000439275.1" "GEN4" 
 "Lactobacillus_ferme..GCA_000010145.1" "GEN4" 
 "Streptococcus_sp...GCA_000479315.1"   "GEN5" 
 "Coprothermobacter_p..GCA_000020945.1" "GEN5" 
 "Caldicellulosirupto..GCA_000145215.1" "GEN5" 
 "candidatus_arthromi..GCA_000283555.1" "GEN5" 
 "candidatus_arthromi..GCA_000270205.1" "GEN5" 
 "Dehalococcoides_mcc..GCA_000830925.1" "GEN6" 
 "Sulfobacillus_acido..GCA_000237975.1" "GEN6" 
 "Thermotoga_neapolit..GCA_000018945.1" "GEN6" 
 "Streptococcus_crist..GCA_000385925.1" "GEN6" 
 "Clostridium_cellulo..GCA_000145275.1" "GEN7" 
 "Lactobacillus_lindn..GCA_001702135.1" "GEN7" 
 "Chloroflexus_sp...GCA_000022185.1"    "GEN7" 
 "Anaerolinea_thermop..GCA_000199675.1" "GEN7" 
 "Caldilinea_aerophil..GCA_000281175.1" "GEN7" 
