$outgn
character(0)

$outsp
character(0)

$outcell
 Species                                Genes  
 "Nakamurella_multipa..GCA_000024365.1" "GEN1" 
 "Rhodothermus_marinu..GCA_000224745.1" "GEN1" 
 "Magnetospirillum_ma..GCA_000009985.1" "GEN1" 
 "Gilliamella_apicola..GCA_001693435.1" "GEN2" 
 "Candidate_division_..GCA_001007975.1" "GEN2" 
 "Bifidobacterium_ado..GCA_000010425.1" "GEN2" 
 "Bifidobacterium_lon..GCA_000196555.1" "GEN2" 
 "candidatus_woesebac..GCA_001029755.1" "GEN2" 
 "Geitlerinema_sp...GCA_000317045.1"    "GEN2" 
 "Coxiella_burnetii..GCA_000019885.1"   "GEN2" 
 "Candidate_division_..GCA_001029715.1" "GEN2" 
 "Pirellula_staleyi..GCA_000025185.1"   "GEN3" 
 "Nitrosococcus_ocean..GCA_000012805.1" "GEN3" 
 "Halothiobacillus_ne..GCA_000024765.1" "GEN3" 
 "Methanogenic_archae..GCA_001563305.1" "GEN3" 
 "Uncultured_marine_g..GCA_000246735.1" "GEN3" 
 "Coriobacteriaceae_b..GCA_000814825.1" "GEN4" 
 "Ferroglobus_placidu..GCA_000025505.1" "GEN5" 
 "Pelosinus_fermentan..GCA_000271665.2" "GEN5" 
 "Faecalitalea_cylind..GCA_000210615.1" "GEN5" 
 "candidatus_nitrosot..GCA_000955905.3" "GEN5" 
 "candidatus_nitrosop..GCA_000299365.1" "GEN5" 
 "candidatus_tremblay..GCA_000412755.1" "GEN6" 
 "Natrialba_magadii..GCA_000025625.1"   "GEN6" 
 "Ignisphaera_aggrega..GCA_000145985.1" "GEN6" 
 "Fervidicoccus_fonti..GCA_000258425.1" "GEN6" 
 "Capnocytophaga_ochr..GCA_000023285.1" "GEN6" 
 "Flavobacterium_psyc..GCA_000064305.2" "GEN6" 
 "Caldivirga_maquilin..GCA_000018305.1" "GEN6" 
 "Aciduliprofundum_sp..GCA_000327505.1" "GEN6" 
 "Marinithermus_hydro..GCA_000195335.1" "GEN7" 
 "Bordetella_holmesii..GCA_000341485.2" "GEN7" 
 "Methylibium_petrole..GCA_000015725.1" "GEN7" 
 "Bacteroides_thetaio..GCA_000011065.1" "GEN7" 
 "Thioalkalivibrio_pa..GCA_000227685.3" "GEN7" 
 "Burkholderia_planta..GCA_001411805.1" "GEN7" 
 "Endosymbiont_of_aca..GCA_000730245.1" "GEN7" 
 "Deinococcus_maricop..GCA_000186385.1" "GEN7" 
 "Truepera_radiovictr..GCA_000092425.1" "GEN7" 
 "Halothiobacillus_ne..GCA_000024765.1" "GEN8" 
 "candidatus_phytopla..GCA_000397185.1" "GEN8" 
 "Corynebacterium_pse..GCA_000144675.1" "GEN8" 
 "Phycisphaera_mikure..GCA_000284115.1" "GEN8" 
 "Prochlorococcus_mar..GCA_000018585.1" "GEN8" 
 "Cyanobacterium_stan..GCA_000317655.1" "GEN8" 
 "candidatus_atelocya..GCA_000025125.1" "GEN8" 
 "Dichelobacter_nodos..GCA_000015345.1" "GEN8" 
 "Gloeobacter_kilauee..GCA_000484535.1" "GEN9" 
 "Mobiluncus_curtisii..GCA_000196535.1" "GEN9" 
 "Halobacteriovorax_m..GCA_000210915.2" "GEN9" 
 "Candidate_division_..GCA_000503875.1" "GEN9" 
 "Megasphaera_elsdeni..GCA_001304715.1" "GEN10"
 "Hippea_maritima..GCA_000194135.1"     "GEN10"
 "candidatus_uzinura_..GCA_000331975.1" "GEN10"
 "Bacterium_2013arg42..GCA_001460935.1" "GEN10"
 "Mycoplasma_pneumoni..GCA_001272755.1" "GEN10"
 "Nanoarchaeum_equita..GCA_000008085.1" "GEN10"
 "Endosymbiont_of_aca..GCA_000730245.1" "GEN11"
 "Ferroplasma_acidarm..GCA_000152265.2" "GEN11"
 "Gordonibacter_pamel..GCA_000210055.1" "GEN11"
 "Rhodothermus_marinu..GCA_000224745.1" "GEN11"
 "Rickettsia_helvetic..GCA_000255355.1" "GEN11"
 "Ehrlichia_chaffeens..GCA_000632885.1" "GEN11"
 "Thermodesulfobacter..GCA_000734015.1" "GEN12"
 "Haloferax_volcanii..GCA_000025685.1"  "GEN12"
 "Conexibacter_woesei..GCA_000025265.1" "GEN12"
 "Butyrate_producing_..GCA_000210675.1" "GEN12"
 "candidatus_campbell..GCA_001029775.1" "GEN12"
 "Halanaerobium_hydro..GCA_000166415.1" "GEN12"
 "Thermotoga_profunda..GCA_000828675.1" "GEN13"
 "candidatus_tremblay..GCA_000412755.1" "GEN13"
 "candidatus_phaeomar..GCA_000689395.1" "GEN13"
 "Leuconostoc_carnosu..GCA_000300135.1" "GEN13"
 "Thermovibrio_ammoni..GCA_000185805.1" "GEN14"
 "Flavisolibacter_sp...GCA_001644645.1" "GEN14"
 "Erysipelotrichaceae..GCA_001688965.1" "GEN14"
 "Halanaerobium_hydro..GCA_000166415.1" "GEN14"
 "Rubinisphaera_brasi..GCA_000165715.3" "GEN14"
 "Gemmata_sp...GCA_001610855.1"         "GEN14"
 "Pirellula_staleyi..GCA_000025185.1"   "GEN14"
 "Calditerrivibrio_ni..GCA_000183405.1" "GEN14"
 "Prevotella_scopos..GCA_001683355.1"   "GEN14"
 "Fluviicola_taffensi..GCA_000194605.1" "GEN14"
 "Bacterium_l21_spi_d..GCA_001443605.1" "GEN14"
 "Tolumonas_auensis..GCA_000023065.1"   "GEN14"
 "candidatus_cloacimo..GCA_000146065.1" "GEN14"
 "Intestinimonas_buty..GCA_001454945.1" "GEN15"
 "candidatus_campbell..GCA_001029775.1" "GEN15"
 "Dehalogenimonas_lyk..GCA_000143165.1" "GEN16"
 "Coraliomargarita_ak..GCA_000025905.1" "GEN16"
 "candidatus_peribact..GCA_001430755.1" "GEN16"
 "Caldisericum_exile..GCA_000284335.1"  "GEN16"
 "Fibrobacter_succino..GCA_000024665.1" "GEN16"
 "Berkelbacteria_bact..GCA_001029735.1" "GEN16"
 "Uncultured_marine_g..GCA_000246735.1" "GEN16"
 "Arthrobacter_sp...GCA_000950575.1"    "GEN17"
 "Gemmata_sp...GCA_001610855.1"         "GEN17"
 "Bifidobacterium_ado..GCA_000010425.1" "GEN17"
 "Limnochorda_pilosa..GCA_001544015.1"  "GEN17"
 "Gemmatimonas_photot..GCA_000695095.2" "GEN17"
 "Mobiluncus_curtisii..GCA_000196535.1" "GEN17"
 "Kosmotoga_olearia..GCA_000023325.1"   "GEN18"
 "Brachyspira_interme..GCA_000223215.1" "GEN18"
 "Opitutaceae_bacteri..GCA_000242935.3" "GEN18"
 "Phycisphaera_mikure..GCA_000284115.1" "GEN18"
 "candidatus_pelagiba..GCA_000195085.1" "GEN18"
 "Alpha_proteobacteri..GCA_000299095.1" "GEN18"
 "Alpha_proteobacteri..GCA_000299115.1" "GEN18"
 "Nitratifractor_sals..GCA_000186245.1" "GEN18"
 "Chlamydia_psittaci_..GCA_000298555.2" "GEN19"
 "Candidate_division_..GCA_000503835.1" "GEN19"
 "candidatus_kinetopl..GCA_000340865.1" "GEN19"
 "Gallionella_capsife..GCA_000145255.1" "GEN19"
 "candidatus_babela_m..GCA_000513475.1" "GEN19"
 "Faecalitalea_cylind..GCA_000210615.1" "GEN19"
 "Modestobacter_marin..GCA_000306785.1" "GEN20"
 "Frankia_sp...GCA_000018005.1"         "GEN20"
 "Clostridium_botulin..GCA_000017065.1" "GEN20"
 "Actinoplanes_missou..GCA_000284295.1" "GEN20"
 "Sorangium_cellulosu..GCA_000067165.1" "GEN20"
 "Gemmata_sp...GCA_001610855.1"         "GEN20"
 "Symbiobacterium_the..GCA_000009905.1" "GEN20"
 "Gemmatimonas_aurant..GCA_000010305.1" "GEN20"
 "Streptosporangium_r..GCA_000024865.1" "GEN20"
 "Granulicella_tundri..GCA_000178975.2" "GEN20"
 "Myxococcus_fulvus..GCA_000219105.1"   "GEN20"
 "Terriglobus_roseus..GCA_000265425.1"  "GEN20"
 "candidatus_woesebac..GCA_001029755.1" "GEN21"
 "Dictyoglomus_thermo..GCA_000020965.1" "GEN21"
 "candidatus_kinetopl..GCA_000340865.1" "GEN21"
 "Alistipes_finegoldi..GCA_000265365.1" "GEN21"
 "Gottschalkia_acidur..GCA_000299355.1" "GEN21"
 "Coriobacteriaceae_b..GCA_000814825.1" "GEN22"
 "Rubrobacter_xylanop..GCA_000014185.1" "GEN22"
 "Flavonifractor_plau..GCA_001688625.1" "GEN22"
 "Limnochorda_pilosa..GCA_001544015.1"  "GEN22"
 "Symbiobacterium_the..GCA_000009905.1" "GEN22"
 "Conexibacter_woesei..GCA_000025265.1" "GEN22"
 "Synechococcus_sp...GCA_000014585.1"   "GEN22"
 "Actinobacillus_suis..GCA_000307145.1" "GEN22"
 "Ignicoccus_hospital..GCA_000017945.1" "GEN22"
 "Gloeobacter_kilauee..GCA_000484535.1" "GEN23"
 "candidatus_amoeboph..GCA_000020565.1" "GEN23"
 "Thermococcus_guayma..GCA_000816105.1" "GEN23"
 "Mobiluncus_curtisii..GCA_000196535.1" "GEN23"
 "Desulfobacca_acetox..GCA_000195295.1" "GEN23"
 "Thermosipho_melanes..GCA_000016905.1" "GEN23"
 "Halobacteriovorax_m..GCA_000210915.2" "GEN23"
 "Bartonella_tribocor..GCA_000196435.1" "GEN23"
 "Nocardiopsis_alba..GCA_000294515.1"   "GEN23"
 "Novosphingobium_pen..GCA_000767465.1" "GEN24"
 "Herpetosiphon_auran..GCA_000018565.1" "GEN24"
 "Syntrophus_aciditro..GCA_000013405.1" "GEN24"
 "Runella_slithyformi..GCA_000218895.1" "GEN24"
 "Nitrosospira_multif..GCA_000196355.1" "GEN24"
 "Pelagibacterium_hal..GCA_000230555.1" "GEN24"
